cow_id,BD,name,d,weight,temp,humidity,pA,pB,health
2,Holstein,farm_beta,32,975.39,19.2,53.5,20548.203,21621.168,good
2,Holstein,farm_beta,33,960.456,22.3,56.4,21911.237,20887.951,good
2,Holstein,farm_beta,34,958.775,16.2,43.0,20809.715,20537.173,good
2,Holstein,farm_beta,35,961.302,16.1,72.7,22902.869,21681.114,good
2,Holstein,farm_beta,36,969.109,21.2,65.3,21791.837,21866.729,good
2,Holstein,farm_beta,37,951.313,23.7,77.2,21989.834,23219.083,good
2,Holstein,farm_beta,38,936.786,15.3,40.9,20015.445,20960.82,good
2,Holstein,farm_beta,39,937.231,20.4,54.7,21663.433,22461.712,good
2,Holstein,farm_beta,40,940.871,16.5,51.4,19941.796,21260.976,good
2,Holstein,farm_beta,41,937.263,20.8,44.1,20939.243,21930.606,good
3,Guernsey,farm_beta,0,1078.339,21.1,77.3,11784.639,10818.102,good
3,Guernsey,farm_beta,1,1085.839,15.4,49.5,10275.565,9164.106,good
3,Guernsey,farm_beta,2,1078.383,17.6,50.1,10420.482,9685.201,good
3,Guernsey,farm_beta,3,1057.639,24.5,67.6,11093.924,10753.235,good
3,Guernsey,farm_beta,4,1029.289,15.9,40.5,8702.118,9445.033,good
3,Guernsey,farm_beta,5,1032.751,18.2,68.7,10090.59,10881.591,good
3,Guernsey,farm_beta,6,1027.989,20.0,75.3,10815.063,12251.685,good
3,Guernsey,farm_beta,7,1015.864,15.2,44.7,9926.267,8631.614,good
3,Guernsey,farm_beta,8,1007.939,24.0,41.2,10661.018,10947.193,good
3,Guernsey,farm_beta,9,973.661,16.0,42.7,9345.75,10018.308,good
3,Guernsey,farm_beta,10,968.849,21.4,51.0,11127.666,9783.431,good
3,Guernsey,farm_beta,11,961.295,22.6,47.8,11175.737,11111.72,good
3,Guernsey,farm_beta,12,950.298,15.9,50.8,10078.389,9285.587,good
3,Guernsey,farm_beta,13,936.993,23.3,73.2,11221.054,10687.838,good
3,Guernsey,farm_beta,14,927.536,19.0,76.5,10526.322,11281.832,good
3,Guernsey,farm_beta,15,933.838,22.2,50.6,11185.919,10406.158,good
3,Guernsey,farm_beta,16,921.134,16.3,30.8,8155.811,9303.189,good
3,Guernsey,farm_beta,17,915.837,21.6,33.4,8658.06,8549.686,good
3,Guernsey,farm_beta,18,900.39,16.1,71.0,10265.992,9976.44,good
3,Guernsey,farm_beta,19,904.771,16.4,52.4,10285.553,8906.348,good
3,Guernsey,farm_beta,20,869.225,23.5,61.2,10189.177,11775.934,good
3,Guernsey,farm_beta,21,833.399,16.9,31.7,7938.206,8212.715,good
3,Guernsey,farm_beta,22,801.759,23.3,66.9,10384.796,11165.705,good
3,Guernsey,farm_beta,23,800.997,21.8,58.6,10148.112,10372.761,good
3,Guernsey,farm_beta,24,787.026,20.5,48.3,9396.562,9630.166,good
3,Guernsey,farm_beta,25,786.08,17.5,52.3,8812.867,9585.567,good
3,Guernsey,farm_beta,26,762.275,18.4,37.7,8636.132,8823.82,good
3,Guernsey,farm_beta,27,743.81,20.6,60.1,10753.296,9462.922,good
3,Guernsey,farm_beta,28,721.57,24.4,69.2,10351.937,10724.827,good
3,Guernsey,farm_beta,29,709.659,15.3,64.9,9205.127,9954.552,good
3,Guernsey,farm_beta,30,688.716,20.2,73.6,11933.207,10178.195,good
3,Guernsey,farm_beta,31,676.931,20.8,79.0,10384.067,10403.94,good
3,Guernsey,farm_beta,32,665.063,21.8,49.3,10440.609,8901.847,good
3,Guernsey,farm_beta,33,655.396,20.7,69.0,10618.687,9755.074,good
3,Guernsey,farm_beta,34,652.75,21.9,73.3,11719.245,10600.059,good
3,Guernsey,farm_beta,35,662.029,19.0,66.2,10212.674,9893.482,good
3,Guernsey,farm_beta,36,666.213,18.1,55.1,9367.675,10202.085,good
3,Guernsey,farm_beta,37,671.344,15.3,58.5,8860.801,9403.54,good
3,Guernsey,farm_beta,38,652.469,21.2,30.1,8182.397,8516.11,good
3,Guernsey,farm_beta,39,628.454,18.6,75.7,11221.965,11784.488,good
3,Guernsey,farm_beta,40,612.011,18.6,61.6,10872.352,10198.813,good
3,Guernsey,farm_beta,41,605.448,19.2,75.0,11291.785,10006.619,good
4,Guernsey,farm_beta,0,1081.679,21.5,68.6,11559.883,11497.819,good
4,Guernsey,farm_beta,1,1061.949,16.7,40.5,10332.085,9697.727,good
4,Guernsey,farm_beta,2,1052.903,16.6,37.3,9348.294,9767.356,good
4,Guernsey,farm_beta,3,1027.339,15.3,40.3,9979.707,9879.24,good
4,Guernsey,farm_beta,4,1025.4,23.5,45.4,10330.709,9388.224,good
4,Guernsey,farm_beta,5,998.611,20.3,56.5,11402.414,10218.938,good
4,Guernsey,farm_beta,6,996.473,24.2,53.5,10473.257,9839.514,good
4,Guernsey,farm_beta,7,978.328,19.9,56.0,9408.64,11304.268,good
4,Guernsey,farm_beta,8,951.406,15.1,74.8,10282.008,9840.579,good
4,Guernsey,farm_beta,9,933.764,24.9,51.2,11596.818,10260.335,good
4,Guernsey,farm_beta,10,914.219,16.1,51.2,8858.534,10642.535,good
4,Guernsey,farm_beta,11,921.264,19.4,75.5,10460.047,11090.999,good
4,Guernsey,farm_beta,12,889.873,18.2,69.1,10338.785,10868.175,good
4,Guernsey,farm_beta,13,888.58,18.2,60.8,10554.985,9518.492,good
4,Guernsey,farm_beta,14,872.375,23.5,59.3,10942.909,10901.909,good
4,Guernsey,farm_beta,15,866.484,22.9,64.9,11113.8,11954.583,good
4,Guernsey,farm_beta,16,870.156,20.2,46.3,10651.563,9366.776,good
4,Guernsey,farm_beta,17,849.318,24.9,74.2,11536.831,12100.557,good
4,Guernsey,farm_beta,18,834.284,24.3,62.0,11209.168,10736.992,good
4,Guernsey,farm_beta,19,821.708,18.0,33.7,8666.047,8148.551,good
4,Guernsey,farm_beta,20,798.446,20.1,78.8,12083.854,11300.932,good
4,Guernsey,farm_beta,21,795.341,22.9,68.8,11490.2,10336.245,good
4,Guernsey,farm_beta,22,781.017,22.3,37.8,9245.995,8643.978,good
4,Guernsey,farm_beta,23,765.917,16.8,67.9,11314.462,9706.922,good
4,Guernsey,farm_beta,24,757.859,20.5,66.4,9728.985,10158.148,good
4,Guernsey,farm_beta,25,747.596,21.1,43.2,9660.154,10005.044,good
4,Guernsey,farm_beta,26,761.549,24.7,34.4,9520.823,10125.447,good
4,Guernsey,farm_beta,27,736.018,17.0,63.1,10435.409,10866.937,good
4,Guernsey,farm_beta,28,730.743,16.2,51.4,10444.632,9932.645,good
4,Guernsey,farm_beta,29,711.563,20.0,70.9,10683.311,11313.081,good
4,Guernsey,farm_beta,30,676.644,24.5,70.8,10755.008,12104.227,good
4,Guernsey,farm_beta,31,668.371,21.1,74.7,11125.047,11067.247,good
4,Guernsey,farm_beta,32,649.162,16.1,64.5,11047.424,9940.706,good
4,Guernsey,farm_beta,33,618.655,19.6,61.7,10190.372,10818.005,good
4,Guernsey,farm_beta,34,604.892,24.6,78.3,12409.189,11058.839,good
4,Guernsey,farm_beta,35,595.196,22.3,60.0,9392.951,9449.116,good
4,Guernsey,farm_beta,36,567.549,15.4,40.3,9644.292,9085.5,good
4,Guernsey,farm_beta,37,542.083,24.8,54.4,11125.138,9625.062,good
4,Guernsey,farm_beta,38,539.388,19.5,36.5,8578.559,9819.79,good
4,Guernsey,farm_beta,39,539.502,18.0,42.2,8266.082,8892.993,good
4,Guernsey,farm_beta,40,522.285,16.8,53.8,10199.403,9552.799,good
4,Guernsey,farm_beta,41,500.25,15.6,52.0,8624.452,8497.588,good
5,Jersey,farm_beta,0,995.388,18.5,49.3,11149.562,11267.117,good
5,Jersey,farm_beta,1,991.091,20.1,42.6,11527.805,11569.627,good
5,Jersey,farm_beta,2,982.243,24.6,31.4,9771.439,10144.681,good
5,Jersey,farm_beta,3,973.006,23.9,68.2,11831.801,12284.254,good
5,Jersey,farm_beta,4,974.462,17.8,39.6,9337.711,9524.882,good
5,Jersey,farm_beta,5,966.02,22.4,72.2,12712.789,11842.769,good
5,Jersey,farm_beta,6,929.417,20.3,49.5,10000.38,11462.838,good
5,Jersey,farm_beta,7,915.958,22.4,78.7,13588.976,11843.487,good
5,Jersey,farm_beta,8,907.025,21.9,62.7,11068.534,10881.82,good
5,Jersey,farm_beta,9,897.819,17.5,74.5,11720.819,11134.327,good
5,Jersey,farm_beta,10,879.779,22.6,45.0,11405.887,11702.772,good
5,Jersey,farm_beta,11,867.002,23.5,77.2,13236.866,13457.23,good
5,Jersey,farm_beta,12,872.623,23.3,79.0,12912.587,12306.39,good
5,Jersey,farm_beta,13,873.831,16.7,39.7,10511.311,9238.825,good
5,Jersey,farm_beta,14,867.552,24.2,60.3,11169.188,12119.647,good
5,Jersey,farm_beta,15,834.244,18.1,50.1,9780.142,11322.498,good
5,Jersey,farm_beta,16,813.086,22.5,43.3,10493.621,11181.588,good
5,Jersey,farm_beta,17,807.179,16.9,68.2,10587.904,12025.949,good
5,Jersey,farm_beta,18,791.277,15.1,36.7,9459.885,8847.466,good
5,Jersey,farm_beta,19,783.563,18.6,70.3,12341.125,12132.307,good
5,Jersey,farm_beta,20,793.668,16.7,63.0,10161.628,10696.215,good
5,Jersey,farm_beta,21,760.054,18.2,75.5,11730.424,11461.285,good
5,Jersey,farm_beta,22,723.393,24.6,41.6,11308.332,10537.93,good
5,Jersey,farm_beta,23,734.221,24.8,68.8,12881.441,11393.301,good
5,Jersey,farm_beta,24,726.448,18.7,47.3,10254.741,9517.658,good
5,Jersey,farm_beta,25,740.15,21.1,33.0,9461.395,9032.889,good
5,Jersey,farm_beta,26,732.201,20.8,73.2,11646.923,11127.501,good
5,Jersey,farm_beta,27,727.764,20.1,50.8,10221.156,11024.365,good
5,Jersey,farm_beta,28,720.462,20.1,41.3,10837.082,11108.433,good
5,Jersey,farm_beta,29,724.254,22.5,74.0,11403.877,12420.298,good
5,Jersey,farm_beta,30,699.29,23.5,72.7,12563.737,12562.835,good
5,Jersey,farm_beta,31,694.385,23.3,45.3,11180.781,10139.179,good
5,Jersey,farm_beta,32,675.945,20.6,71.3,12746.232,12351.34,good
5,Jersey,farm_beta,33,672.898,24.6,42.1,11373.938,10922.451,good
5,Jersey,farm_beta,34,648.679,15.1,59.5,10456.422,11282.845,good
5,Jersey,farm_beta,35,640.478,22.3,74.5,11092.828,12084.306,good
5,Jersey,farm_beta,36,624.902,19.6,38.2,10995.544,10454.58,good
5,Jersey,farm_beta,37,594.203,24.3,39.1,9739.795,10480.546,good
5,Jersey,farm_beta,38,564.848,23.2,75.4,12744.155,13152.776,good
5,Jersey,farm_beta,39,547.375,21.2,67.4,10991.935,11515.786,good
5,Jersey,farm_beta,40,542.231,23.9,32.0,9295.016,9506.05,good
5,Jersey,farm_beta,41,541.54,19.1,57.2,10023.325,10891.857,good
6,Guernsey,farm_beta,0,1086.723,15.8,54.7,10942.032,9769.93,good
6,Guernsey,farm_beta,1,1073.159,16.1,30.3,8645.451,8746.804,good
6,Guernsey,farm_beta,2,1044.135,16.8,58.1,10040.64,10869.39,good
6,Guernsey,farm_beta,3,1018.159,24.5,68.2,10512.979,10847.93,good
6,Guernsey,farm_beta,4,1006.972,19.0,63.1,10921.951,10489.244,good
6,Guernsey,farm_beta,5,990.289,21.3,31.3,9140.895,9754.017,good
6,Guernsey,farm_beta,6,976.728,22.8,60.1,10777.412,10194.055,good
6,Guernsey,farm_beta,7,963.628,23.1,53.2,10246.539,10624.59,good
6,Guernsey,farm_beta,8,948.501,24.3,68.9,12313.221,11020.863,good
6,Guernsey,farm_beta,9,947.176,23.4,37.8,9595.07,10765.813,good
6,Guernsey,farm_beta,10,948.236,16.9,35.1,8401.296,8783.133,good
6,Guernsey,farm_beta,11,931.539,18.7,73.3,11098.939,11498.097,good
6,Guernsey,farm_beta,12,927.487,17.7,44.6,10021.256,8988.646,good
6,Guernsey,farm_beta,13,908.453,15.5,70.9,11176.303,11308.016,good
6,Guernsey,farm_beta,14,898.283,23.2,50.8,10190.388,10984.132,good
6,Guernsey,farm_beta,15,906.029,17.1,49.7,9369.949,9583.059,good
6,Guernsey,farm_beta,16,920.547,20.2,57.8,10225.288,10332.25,good
6,Guernsey,farm_beta,17,904.095,23.7,77.3,12118.627,12678.065,good
6,Guernsey,farm_beta,18,881.391,17.5,34.5,8725.201,8412.739,good
6,Guernsey,farm_beta,19,878.666,22.7,32.5,9118.529,9372.353,good
6,Guernsey,farm_beta,20,846.563,20.2,69.0,9999.359,10060.781,good
6,Guernsey,farm_beta,21,854.271,18.9,44.2,10462.228,9207.032,good
6,Guernsey,farm_beta,22,840.871,17.6,46.5,8929.817,8995.404,good
6,Guernsey,farm_beta,23,832.948,20.1,77.3,11633.598,10301.318,good
6,Guernsey,farm_beta,24,824.914,23.9,34.0,9960.552,10283.516,good
6,Guernsey,farm_beta,25,826.334,20.1,58.5,9349.663,10700.051,good
6,Guernsey,farm_beta,26,806.29,21.6,52.0,10025.55,9492.928,good
6,Guernsey,farm_beta,27,798.187,24.7,55.0,10911.381,11570.157,good
6,Guernsey,farm_beta,28,769.121,18.6,40.6,10239.473,9037.362,good
6,Guernsey,farm_beta,29,778.152,22.8,32.2,8783.972,8529.521,good
6,Guernsey,farm_beta,30,765.533,16.5,57.1,10322.09,10095.467,good
6,Guernsey,farm_beta,31,756.945,16.5,54.7,10622.426,8860.562,good
6,Guernsey,farm_beta,32,737.554,22.4,42.6,9932.423,10620.443,good
6,Guernsey,farm_beta,33,732.01,17.0,53.1,10476.547,9669.386,good
6,Guernsey,farm_beta,34,717.649,20.2,43.5,9284.436,8959.178,good
6,Guernsey,farm_beta,35,707.017,18.6,67.5,9922.509,10676.614,good
6,Guernsey,farm_beta,36,697.915,23.8,57.1,9933.503,10303.402,good
6,Guernsey,farm_beta,37,666.999,19.4,35.3,8366.237,9866.905,good
6,Guernsey,farm_beta,38,655.947,21.1,54.8,10180.478,10750.141,good
6,Guernsey,farm_beta,39,659.728,18.4,79.6,10176.857,11164.188,good
6,Guernsey,farm_beta,40,648.743,20.1,51.8,9132.799,10754.556,good
6,Guernsey,farm_beta,41,633.63,22.8,61.2,10016.032,10264.811,good
7,Holstein,farm_beta,0,1183.645,17.6,71.4,23142.708,22765.715,good
7,Holstein,farm_beta,1,1173.106,16.2,54.8,22273.749,21512.542,good
7,Holstein,farm_beta,2,1148.424,22.1,68.5,23005.276,21863.3,good
7,Holstein,farm_beta,3,1136.771,20.0,48.2,20408.759,21930.098,good
7,Holstein,farm_beta,4,1116.997,18.8,55.0,22284.964,21354.525,good
7,Holstein,farm_beta,5,1122.12,19.9,49.8,20734.729,21890.525,good
7,Holstein,farm_beta,6,1109.389,17.6,53.8,21804.348,21974.172,good
7,Holstein,farm_beta,7,1097.81,20.9,40.6,20851.262,21478.924,good
7,Holstein,farm_beta,8,1093.068,20.3,48.8,20830.717,20622.01,good
7,Holstein,farm_beta,9,1066.782,17.2,40.9,20446.934,20092.004,good
7,Holstein,farm_beta,10,1071.737,19.4,33.6,21485.698,19646.952,good
7,Holstein,farm_beta,11,1061.297,22.2,74.7,22474.886,21920.689,good
7,Holstein,farm_beta,12,1042.381,19.0,74.9,22748.031,22144.719,good
7,Holstein,farm_beta,13,1030.973,22.0,57.0,22635.372,22874.762,good
7,Holstein,farm_beta,14,1018.614,18.2,40.0,19897.992,21350.259,good
7,Holstein,farm_beta,15,998.934,23.6,79.0,22406.298,22320.523,good
7,Holstein,farm_beta,16,979.076,20.3,53.4,21536.617,21548.368,good
7,Holstein,farm_beta,17,956.819,21.5,62.9,22777.878,22893.811,good
7,Holstein,farm_beta,18,949.494,20.3,47.8,21856.618,21592.502,good
7,Holstein,farm_beta,19,950.578,19.4,77.1,22141.675,22027.734,good
7,Holstein,farm_beta,20,942.771,18.2,60.3,20826.482,20650.748,good
7,Holstein,farm_beta,21,923.236,19.7,64.2,21356.588,22001.933,good
7,Holstein,farm_beta,22,929.471,16.1,41.7,21263.331,19996.059,good
7,Holstein,farm_beta,23,924.544,20.4,67.5,22873.146,21794.552,good
7,Holstein,farm_beta,24,907.925,18.7,39.2,20697.309,19689.602,good
7,Holstein,farm_beta,25,883.904,16.8,48.1,19898.778,21549.985,good
7,Holstein,farm_beta,26,883.937,17.2,79.8,22709.279,21668.234,good
7,Holstein,farm_beta,27,865.765,20.1,65.4,22910.945,21427.034,good
7,Holstein,farm_beta,28,837.137,23.7,37.8,20966.026,20788.49,good
7,Holstein,farm_beta,29,806.897,20.2,78.8,23238.22,22006.296,good
7,Holstein,farm_beta,30,801.826,15.8,69.4,22288.775,22255.429,good
7,Holstein,farm_beta,31,788.929,15.5,74.7,22427.632,22538.755,good
7,Holstein,farm_beta,32,768.6,18.4,68.0,20789.694,21439.525,good
7,Holstein,farm_beta,33,758.267,16.1,43.2,21044.187,19761.995,good
7,Holstein,farm_beta,34,732.782,20.6,37.2,20127.179,20078.827,good
7,Holstein,farm_beta,35,737.763,23.3,43.1,20317.175,21728.503,good
7,Holstein,farm_beta,36,742.057,19.6,60.3,21541.324,21533.586,good
7,Holstein,farm_beta,37,748.415,17.8,76.4,22988.379,21187.965,good
7,Holstein,farm_beta,38,733.356,21.8,34.5,20737.063,20199.502,good
7,Holstein,farm_beta,39,727.079,18.2,69.2,22360.67,22064.68,good
7,Holstein,farm_beta,40,719.678,17.1,63.3,21055.396,22285.475,good
7,Holstein,farm_beta,41,707.065,15.2,66.8,21481.33,20366.851,good
8,Jersey,farm_beta,0,998.977,17.5,62.3,11865.772,10380.066,good
8,Jersey,farm_beta,1,978.638,19.4,70.8,11015.302,12172.134,good
8,Jersey,farm_beta,2,984.583,20.9,52.4,11338.265,10739.592,good
8,Jersey,farm_beta,3,997.6,21.1,68.4,12826.382,11806.837,good
8,Jersey,farm_beta,4,992.009,16.7,60.6,11470.243,11254.22,good
8,Jersey,farm_beta,5,981.461,20.8,72.2,12157.243,11977.481,good
8,Jersey,farm_beta,6,982.296,15.5,64.9,11809.877,10665.634,good
8,Jersey,farm_beta,7,964.797,23.5,77.8,13544.237,11814.263,good
8,Jersey,farm_beta,8,963.869,19.7,51.3,11945.848,11648.945,good
8,Jersey,farm_beta,9,950.111,19.8,31.6,10600.481,9942.387,good
8,Jersey,farm_beta,10,936.596,15.0,74.0,11820.852,12079.698,good
8,Jersey,farm_beta,11,935.872,19.2,76.6,12611.429,13105.552,good
8,Jersey,farm_beta,12,931.138,20.4,49.0,11689.914,10765.174,good
8,Jersey,farm_beta,13,927.584,15.2,39.6,9889.691,10210.614,good
8,Jersey,farm_beta,14,907.35,22.4,56.9,12020.803,11945.899,good
8,Jersey,farm_beta,15,915.139,17.6,50.2,11099.683,10544.738,good
8,Jersey,farm_beta,16,887.143,22.4,44.0,10180.326,10272.422,good
8,Jersey,farm_beta,17,862.488,18.2,74.0,12609.746,12014.46,good
8,Jersey,farm_beta,18,845.329,22.8,41.1,10960.745,10692.058,good
8,Jersey,farm_beta,19,823.379,24.6,33.6,9836.046,10277.924,good
8,Jersey,farm_beta,20,800.761,19.8,39.1,10696.836,10201.407,good
8,Jersey,farm_beta,21,811.715,16.7,37.0,10109.621,8896.46,good
8,Jersey,farm_beta,22,820.197,15.9,49.3,10552.305,9826.996,good
8,Jersey,farm_beta,23,810.448,15.4,38.8,9646.463,10710.36,good
8,Jersey,farm_beta,24,814.715,16.6,70.7,10901.438,11699.932,good
8,Jersey,farm_beta,25,796.583,23.6,70.2,11872.524,12058.57,good
8,Jersey,farm_beta,26,789.564,24.0,40.7,11211.786,11420.47,good
8,Jersey,farm_beta,27,757.97,18.9,61.6,11217.67,10497.761,good
8,Jersey,farm_beta,28,760.788,23.8,62.7,12583.409,12577.101,good
8,Jersey,farm_beta,29,730.318,17.4,37.5,10663.633,9246.227,good
8,Jersey,farm_beta,30,710.231,15.0,51.6,9528.065,10081.482,good
8,Jersey,farm_beta,31,702.994,19.5,45.7,10923.313,10511.177,good
8,Jersey,farm_beta,32,693.95,22.1,64.3,11070.291,11778.062,good
8,Jersey,farm_beta,33,668.16,17.3,34.1,9072.29,10564.007,good
8,Jersey,farm_beta,34,658.066,21.0,54.4,11213.8,11637.108,good
8,Jersey,farm_beta,35,649.621,21.1,75.2,12637.99,11668.923,good
8,Jersey,farm_beta,36,667.921,20.4,71.5,12351.018,12360.057,good
8,Jersey,farm_beta,37,666.999,18.8,66.7,12060.909,11027.068,good
8,Jersey,farm_beta,38,659.212,22.3,65.3,11679.705,11873.872,good
8,Jersey,farm_beta,39,647.575,17.6,78.9,11683.132,11249.898,good
8,Jersey,farm_beta,40,643.514,15.1,71.4,12097.081,11590.34,good
8,Jersey,farm_beta,41,649.505,20.4,41.5,11141.66,11209.646,good
9,Guernsey,farm_beta,0,1112.608,17.6,60.3,10503.884,11009.454,good
9,Guernsey,farm_beta,1,1093.55,17.5,52.7,9784.479,10025.197,good
9,Guernsey,farm_beta,2,1103.492,17.3,55.1,9237.521,10910.331,good
9,Guernsey,farm_beta,3,1097.46,16.4,67.6,10993.049,10008.205,good
9,Guernsey,farm_beta,4,1073.141,22.9,31.6,9131.373,10253.043,good
9,Guernsey,farm_beta,5,1064.563,22.1,39.4,9061.625,10101.1,good
9,Guernsey,farm_beta,6,1064.569,23.2,42.8,10955.402,10310.696,good
9,Guernsey,farm_beta,7,1046.113,18.5,79.8,10911.666,10700.406,good
9,Guernsey,farm_beta,8,1010.929,24.4,62.9,10404.075,10416.454,good
9,Guernsey,farm_beta,9,993.713,23.1,78.1,12175.88,10934.902,good
9,Guernsey,farm_beta,10,979.54,15.9,38.7,9086.267,9898.159,good
9,Guernsey,farm_beta,11,961.219,16.2,35.2,7977.685,9663.993,good
9,Guernsey,farm_beta,12,944.25,16.7,43.1,9225.092,9353.146,good
9,Guernsey,farm_beta,13,914.64,19.2,40.0,9765.411,10281.888,good
9,Guernsey,farm_beta,14,899.604,17.7,30.2,8991.921,8316.901,good
